"","seqid","start","end","strand","type","ID","Alias","Name"
"1","chr1",17369,17436,"-","miRNA_primary_transcript","MI0022705",MI0022705,"hsa-mir-6859-1"
"2","chr1",17409,17431,"-","miRNA","MIMAT0027618",MIMAT0027618,"hsa-miR-6859-5p"
"3","chr1",17369,17391,"-","miRNA","MIMAT0027619",MIMAT0027619,"hsa-miR-6859-3p"
"4","chr1",30366,30503,"+","miRNA_primary_transcript","MI0006363",MI0006363,"hsa-mir-1302-2"
"5","chr1",30438,30458,"+","miRNA","MIMAT0005890",MIMAT0005890,"hsa-miR-1302"
"6","chr1",187891,187958,"-","miRNA_primary_transcript","MI0026420",MI0026420,"hsa-mir-6859-2"
"7","chr1",187931,187953,"-","miRNA","MIMAT0027618_1",MIMAT0027618,"hsa-miR-6859-5p"
"8","chr1",187891,187913,"-","miRNA","MIMAT0027619_1",MIMAT0027619,"hsa-miR-6859-3p"
"9","chr1",632615,632685,"-","miRNA_primary_transcript","MI0039740",MI0039740,"hsa-mir-12136"
"10","chr1",632668,632685,"-","miRNA","MIMAT0049032",MIMAT0049032,"hsa-miR-12136"
"11","chr1",1167104,1167198,"+","miRNA_primary_transcript","MI0000342",MI0000342,"hsa-mir-200b"
"12","chr1",1167124,1167145,"+","miRNA","MIMAT0004571",MIMAT0004571,"hsa-miR-200b-5p"
"13","chr1",1167160,1167181,"+","miRNA","MIMAT0000318",MIMAT0000318,"hsa-miR-200b-3p"
"14","chr1",1167863,1167952,"+","miRNA_primary_transcript","MI0000737",MI0000737,"hsa-mir-200a"
"15","chr1",1167878,1167899,"+","miRNA","MIMAT0001620",MIMAT0001620,"hsa-miR-200a-5p"
"16","chr1",1167916,1167937,"+","miRNA","MIMAT0000682",MIMAT0000682,"hsa-miR-200a-3p"
"17","chr1",1169005,1169087,"+","miRNA_primary_transcript","MI0001641",MI0001641,"hsa-mir-429"
"18","chr1",1169055,1169076,"+","miRNA","MIMAT0001536",MIMAT0001536,"hsa-miR-429"
"19","chr1",1296110,1296170,"-","miRNA_primary_transcript","MI0022571",MI0022571,"hsa-mir-6726"
"20","chr1",1296145,1296165,"-","miRNA","MIMAT0027353",MIMAT0027353,"hsa-miR-6726-5p"
"21","chr1",1296110,1296129,"-","miRNA","MIMAT0027354",MIMAT0027354,"hsa-miR-6726-3p"
"22","chr1",1312502,1312566,"-","miRNA_primary_transcript","MI0022572",MI0022572,"hsa-mir-6727"
"23","chr1",1312539,1312561,"-","miRNA","MIMAT0027355",MIMAT0027355,"hsa-miR-6727-5p"
"24","chr1",1312502,1312521,"-","miRNA","MIMAT0027356",MIMAT0027356,"hsa-miR-6727-3p"
"25","chr1",1339650,1339708,"-","miRNA_primary_transcript","MI0022653",MI0022653,"hsa-mir-6808"
"26","chr1",1339682,1339703,"-","miRNA","MIMAT0027516",MIMAT0027516,"hsa-miR-6808-5p"
"27","chr1",1339650,1339670,"-","miRNA","MIMAT0027517",MIMAT0027517,"hsa-miR-6808-3p"
"28","chr1",3127975,3128035,"+","miRNA_primary_transcript","MI0015861",MI0015861,"hsa-mir-4251"
"29","chr1",3128009,3128025,"+","miRNA","MIMAT0016883",MIMAT0016883,"hsa-miR-4251"
"30","chr1",3560695,3560790,"-","miRNA_primary_transcript","MI0003556",MI0003556,"hsa-mir-551a"
"31","chr1",3560710,3560730,"-","miRNA","MIMAT0003214",MIMAT0003214,"hsa-miR-551a"
"32","chr1",5862672,5862741,"-","miRNA_primary_transcript","MI0017322",MI0017322,"hsa-mir-4689"
"33","chr1",5862711,5862732,"-","miRNA","MIMAT0019778",MIMAT0019778,"hsa-miR-4689"
"34","chr1",6429834,6429896,"-","miRNA_primary_transcript","MI0015864",MI0015864,"hsa-mir-4252"
"35","chr1",6429844,6429862,"-","miRNA","MIMAT0016886",MIMAT0016886,"hsa-miR-4252"
"36","chr1",8866502,8866590,"-","miRNA_primary_transcript","MI0022573",MI0022573,"hsa-mir-6728"
"37","chr1",8866563,8866585,"-","miRNA","MIMAT0027357",MIMAT0027357,"hsa-miR-6728-5p"
"38","chr1",8866502,8866522,"-","miRNA","MIMAT0027358",MIMAT0027358,"hsa-miR-6728-3p"
"39","chr1",9151668,9151777,"-","miRNA_primary_transcript","MI0000268",MI0000268,"hsa-mir-34a"
"40","chr1",9151735,9151756,"-","miRNA","MIMAT0000255",MIMAT0000255,"hsa-miR-34a-5p"
"41","chr1",9151693,9151714,"-","miRNA","MIMAT0004557",MIMAT0004557,"hsa-miR-34a-3p"
"42","chr1",9967381,9967458,"+","miRNA_primary_transcript","MI0019304",MI0019304,"hsa-mir-5697"
"43","chr1",9967390,9967411,"+","miRNA","MIMAT0022490",MIMAT0022490,"hsa-miR-5697"
"44","chr1",12029158,12029222,"+","miRNA_primary_transcript","MI0022574",MI0022574,"hsa-mir-6729"
"45","chr1",12029163,12029184,"+","miRNA","MIMAT0027359",MIMAT0027359,"hsa-miR-6729-5p"
"46","chr1",12029202,12029222,"+","miRNA","MIMAT0027360",MIMAT0027360,"hsa-miR-6729-3p"
"47","chr1",12166943,12167038,"+","miRNA_primary_transcript","MI0025516",MI0025516,"hsa-mir-7846"
"48","chr1",12167010,12167030,"+","miRNA","MIMAT0030421",MIMAT0030421,"hsa-miR-7846-3p"
"49","chr1",12191713,12191773,"+","miRNA_primary_transcript","MI0017259",MI0017259,"hsa-mir-4632"
"50","chr1",12191752,12191773,"+","miRNA","MIMAT0019688",MIMAT0019688,"hsa-miR-4632-3p"
"51","chr1",12191713,12191735,"+","miRNA","MIMAT0022977",MIMAT0022977,"hsa-miR-4632-5p"
"52","chr1",12578957,12579023,"-","miRNA_primary_transcript","MI0022575",MI0022575,"hsa-mir-6730"
"53","chr1",12578996,12579018,"-","miRNA","MIMAT0027361",MIMAT0027361,"hsa-miR-6730-5p"
"54","chr1",12578958,12578979,"-","miRNA","MIMAT0027362",MIMAT0027362,"hsa-miR-6730-3p"
"55","chr1",16858949,16859021,"-","miRNA_primary_transcript","MI0016076",MI0016076,"hsa-mir-3675"
"56","chr1",16858988,16859010,"-","miRNA","MIMAT0018098",MIMAT0018098,"hsa-miR-3675-5p"
